年別,戶外,評分,細分,分類,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2020,1,4.2,鶯歌老街,1,新北市,65686,78398,57664,65141,88066,78413,77386,88000,88769,85520,85520,65666,924229
2020,1,4.2,三峽老街,1,新北市,300000,182000,84000,63000,71000,95000,127000,144000,150000,146000,128000,131000,1621000
2020,1,4.3,八里左岸公園,2,新北市,263000,294000,281900,222000,289000,321300,272000,340200,281880,411480,354240,316440,3647440
2020,1,4.3,淡水紅毛城,2,新北市,78656,31972,8639,0,8953,14699,16060,17512,14026,29290,29882,22452,272141
2020,1,4.3,滬尾砲臺,3,新北市,7152,5933,2906,0,2905,3472,3485,4966,3306,7034,7158,4246,52563
2020,0,4.2,前清淡水關稅務司官邸,2,新北市,21051,9426,3762,0,4279,7290,6994,7393,7400,16947,12957,9920,107419
2020,1,3.8,雲仙樂園,3,新北市,11639,9047,5031,2834,7234,11019,15791,17669,8749,14399,9920,8043,121375
2020,0,4.3,大板根森林溫泉渡假村,3,新北市,18952,9388,4328,3579,10917,14030,18483,24044,24010,29146,25429,17854,200160
2020,0,4.1,林口三井Outlet,1,新北市,965821,628462,543889,557954,730585,789228,823752,821162,668466,744471,713632,785236,8772658
2020,0,4.4,十分瀑布,3,新北市,244500,166500,73500,60000,92000,123800,124000,126000,126500,125000,119000,80000,1460800
2020,0,4.1,十分旅遊服務中心,3,新北市,392500,305000,130000,80000,143000,163500,185000,185000,180000,184000,167500,144500,2260000
2020,1,4.4,淡水漁人碼頭,2,新北市,313945,206618,129651,78573,170552,123819,191622,191623,173902,173902,192862,139129,2086198
2020,0,4.3,猴硐煤礦博物園區,3,新北市,88500,65700,21000,20000,36000,48100,49000,54000,51000,52000,48000,29000,562300
2020,0,4.1,水湳洞遊客中心,2,新北市,50000,29500,13000,10000,22000,33500,44000,39000,39000,40000,35000,37000,392000
2020,0,4.4,林本源園邸(林家花園),1,新北市,35677,22750,7227,0,199186,10527,11686,15168,21382,34966,24594,24024,407187
2020,0,4,三峽歷史文物館,1,新北市,3691,6164,2762,0,2252,4656,5116,5857,3944,3409,4390,4391,46632
2020,0,4.2,坪林茶業博物館,3,新北市,9263,10155,1241,0,8990,12066,9549,12931,10936,14156,13063,5216,107566
2020,0,4.3,新北市立鶯歌陶瓷博物館,1,新北市,44624,29627,19383,13432,34211,79507,77386,88000,33849,51821,45392,33251,550483
2020,0,4.2,新北市立十三行博物館,1,新北市,35423,32293,24294,20963,45854,57166,51234,102056,45813,74059,55057,35516,579728
2020,0,4.4,新北市黃金博物園區,3,新北市,154455,82279,31771,0,46264,95832,111883,126276,82825,118057,86170,55604,991416
2020,0,3.9,新北市客家文化園區,1,新北市,83386,15627,6516,0,6525,8160,38681,72326,88399,90045,99715,74623,584003
2020,1,4.4,滿月圓國家森林遊樂區,3,新北市,11017,20161,18400,17153,24820,35479,43207,44320,26414,35492,26014,18744,321221
2020,1,4.5,內洞國家森林遊樂區,3,新北市,14469,20156,18254,14433,19706,28256,31870,30985,18592,28180,21690,11191,257782
2020,1,4.5,瑞芳風景特定區,3,新北市,407000,350000,156000,100000,174000,205000,212000,260000,250000,290000,275000,225000,2904000
2020,1,4.6,烏來風景特定區,3,新北市,183000,170000,60000,65000,72000,99000,101500,113000,115000,125000,122000,91000,1316500
2020,1,4.3,碧潭風景特定區,3,新北市,209000,162000,85000,90000,66000,107000,103000,80000,104000,139000,128000,113000,1386000
2020,0,4.2,野柳海洋世界,2,新北市,9930,5473,4523,3925,6288,13423,26036,35216,12343,20989,14071,6867,159084
2020,1,4.5,金山遊憩區,3,新北市,39103,45769,54740,51497,87189,94671,107521,116309,81786,80838,57468,29927,846818
2020,1,3.9,三芝遊憩區,3,新北市,29790,35074,36332,32485,45544,39013,36054,33220,23400,31261,32891,13375,388439
2020,1,4.4,野柳地質公園,2,新北市,201897,51323,24866,22313,31469,39778,41086,48400,35251,70032,51687,24565,642667
2020,1,4.5,白沙灣,2,新北市,27412,36938,55382,58268,101138,124951,113617,100239,55092,59052,34437,27273,793799
2020,1,3.8,翡翠灣濱海遊憩區,2,新北市,9770,3759,1558,1204,128,238,144,180,191,1346,3520,3502,25540
2020,1,4.5,觀音山,3,新北市,80650,67849,78182,86305,90000,96014,106301,88169,72236,87234,73000,70040,995980
2020,1,3.5,鼻頭龍洞遊憩區,1,新北市,15425,15158,11148,14052,22723,54790,57393,45621,20474,26468,22503,9722,315477
2020,1,4,鹽寮福隆遊憩區,1,新北市,46495,50062,36458,38114,70376,163330,187017,144804,94330,119097,95849,47893,1093825
